dacc,ddelta,dtheta,pos_x,pos_y,yaw_angle,v_x,v_y,omega,acc,delta,theta
1.28467207,-0.257557432,1.789566434,0.663739192,0.80495693,29.32281893,1.450536181,0.073628202,4.024977321,0.322495065,0.312636763,4.1941195
0.969799117,-1.578585336,1.505065681,0.644470593,0.760261897,29.45609118,1.471042425,0.063337589,3.902614449,0.354821702,0.260017252,4.24428835
0.436598417,-0.124911482,1.68162032,0.630531141,0.712784059,29.58188993,1.49695961,0.057585434,3.66948809,0.369374982,0.255853536,4.30034236
0.048814361,-0.81985666,1.54851987,0.62219019,0.663123367,29.701119,1.524640688,0.051362439,3.467890666,0.371002128,0.228524981,4.35195969
-0.212322246,-1.571894803,1.550946918,0.6192189,0.611885794,29.81061756,1.555548055,0.038311697,3.050984425,0.36392472,0.176128487,4.40365792
-0.567606475,-1.60335708,1.573974643,0.620961524,0.559540113,29.90205909,1.587084879,0.024288246,2.406351415,0.345004504,0.122683251,4.45612375
-1.050910125,-2.381980449,1.5935091,0.626436329,0.506431492,29.968032,1.615961521,0.004355678,1.491637566,0.309974166,0.043283903,4.50924072
-0.953019195,-2.786935167,1.611807985,0.633903805,0.452694016,29.99807938,1.637848969,-0.01742372,0.277489221,0.27820686,-0.049613936,4.56296765
-1.368449353,-3.361447585,1.627540864,0.641158824,0.398379997,29.98420994,1.64665797,-0.040157684,-1.118157985,0.232591881,-0.161662189,4.61721901
-0.832154187,-0.8933547,1.639125394,0.645842382,0.343701483,29.92777083,1.644951743,-0.046053307,-2.18017126,0.204853408,-0.191440679,4.67185652
-0.17470876,-2.084897232,1.638058178,0.646510166,0.288996093,29.84297983,1.635648847,-0.053848222,-2.90051771,0.199029783,-0.260937253,4.72645846
-1.024062606,4.26048655,1.559893697,0.642063331,0.23477043,29.74407303,1.632166233,-0.02511775,-2.739432261,0.164894363,-0.118921035,4.77845492
-1.050979535,-6.142133429,1.641371587,0.63331303,0.181288667,29.65387249,1.612642339,-0.048162827,-2.892587952,0.129861712,-0.323658816,4.83316731
1.212262598,0.01143156,1.526111306,0.618581273,0.130154595,29.54468807,1.582376414,-0.063009259,-3.626771509,0.170270465,-0.323277764,4.88403768
0.693674975,3.293038745,2.161087244,0.59811006,0.081816135,29.42036554,1.571719975,-0.048240208,-3.65283731,0.193392964,-0.213509806,4.95607392
1.999492006,-2.287862962,1.027487891,0.572418433,0.03620236,29.30169671,1.568412042,-0.051663779,-3.571499902,0.260042698,-0.289771904,4.99032352
-0.465377138,4.312665724,0.827811044,0.541418995,-0.005975355,29.18535658,1.576779408,-0.02985622,-3.165366102,0.244530126,-0.14601638,5.01791722
-0.495678541,0.839073918,1.397156548,0.506635648,-0.045648408,29.09579074,1.587957898,-0.020563164,-2.278559946,0.228007508,-0.11804725,5.06448911
-0.449332147,-1.842557408,1.615583168,0.468572551,-0.082571433,29.02363537,1.591600627,-0.037216993,-2.198795137,0.21302977,-0.17946583,5.11834188
1.391420988,-2.760722917,2.276678536,0.427367271,-0.115939237,28.94044653,1.588882078,-0.055465523,-2.849087165,0.25941047,-0.271489927,5.19423116
1.175999701,-0.357904718,1.714581009,0.382987458,-0.144830923,28.83455675,1.589471979,-0.060312046,-3.460413426,0.29861046,-0.283420085,5.25138386
0.441431618,0.563057168,1.524044759,0.33550104,-0.168592787,28.7143495,1.597479222,-0.054516335,-3.696482702,0.313324847,-0.264651512,5.30218536
-0.794633335,7.226313278,3.08238969,0.285329035,-0.187394545,28.60468536,1.620621292,0.004406967,-2.479053089,0.286837069,-0.023774403,5.40493168
-0.991090582,-7.364075169,1.668907611,0.233432609,-0.203309104,28.53580244,1.628517296,-0.030456625,-2.074381151,0.253800716,-0.269243575,5.46056193
-1.999937716,-3.814383921,0.270282632,0.180437203,-0.213455672,28.44855973,1.605393976,-0.061974243,-3.194021126,0.187136126,-0.396389706,5.46957135
